Floor,Access Point,Download,Upload,Ping,Total Users,Time
1,1,71,53.25,125,20,11/15/2018 19:44
1,2,55,41.25,180,25,11/16/2018 19:44
1,3,40,30,281.25,30,11/17/2018 19:44
1,4,125,93.75,28.8,25,11/18/2018 19:44
1,5,110,82.5,64.8,24,11/19/2018 19:44
1,6,90,67.5,115.2,20,11/20/2018 19:44
2,1,100,75,60,30,11/21/2018 19:44
2,2,110,82.5,81.66666667,35,11/22/2018 19:44
2,3,120,90,106.6666667,40,11/23/2018 19:44
2,4,120,90,72.6,33,11/24/2018 19:44
2,5,110,82.5,38.4,24,11/25/2018 19:44
2,6,100,75,86.4,36,11/26/2018 19:44
3,1,80,60,41.66666667,25,11/27/2018 19:44
3,2,70,52.5,38.4,24,11/28/2018 19:44
3,3,75,56.25,26.66666667,20,11/29/2018 19:44
3,4,73,54.75,60,30,11/30/2018 19:44
3,5,82,61.5,81.66666667,35,12/1/2018 19:44
3,6,63,47.25,106.6666667,40,12/2/2018 19:44
